Name,Employee_Email__c,Department__c
Uriah,uriah.bridges@bilearner.com,IT
Paula,paula.small@bilearner.com,Finance
Edward,edward.buck@bilearner.com,Sales
Michael,michael.riordan@bilearner.com,IT
Jasmine,jasmine.onque@bilearner.com,Finance
Maruk,maruk.fraval@bilearner.com,Sales
Latia,latia.costa@bilearner.com,IT
Sharlene,sharlene.terry@bilearner.com,Finance
Jac,jac.mckinzie@bilearner.com,Sales
Joseph,joseph.martins@bilearner.com,IT
Myriam,myriam.givens@bilearner.com,Finance
Dheepa,dheepa.nguyen@bilearner.com,Sales
Bartholemew,bartholemew.khemmich@bilearner.com,IT
Xana,xana.potts@bilearner.com,Finance
Prater,prater.jeremy@bilearner.com,Sales
Kaylah,kaylah.moon@bilearner.com,IT
Kristen,kristen.tate@bilearner.com,Finance
Bobby,bobby.rodgers@bilearner.com,Sales
Reid,reid.park@bilearner.com,IT
Hector,hector.dalton@bilearner.com,Finance
Mariela,mariela.schultz@bilearner.com,Sales
Angela,angela.molina@bilearner.com,IT
Gerald,gerald.preston@bilearner.com,Finance
Reilly,reilly.moyer@bilearner.com,Sales
Carlee,carlee.french@bilearner.com,IT
Jaydon,jaydon.blackburn@bilearner.com,Finance
Bridger,bridger.carter@bilearner.com,Sales
Leon,leon.beard@bilearner.com,IT
Charity,charity.miranda@bilearner.com,Finance
Axel,axel.howe@bilearner.com,Sales
Milton,milton.wall@bilearner.com,IT
Cory,cory.robinson@bilearner.com,Finance
Saniya,saniya.yu@bilearner.com,Sales
